x,y,z,qx,qy,qz,qw
0.0,0.0,0.0,0.0,0.0,0.23320264850186323,0.9724281591622675
0.11373080334545928,0.05817614213106911,0.0,0.0,0.0,0.23624793175702413,0.971692808834422
0.22620357541341876,0.11750547959984634,0.0,0.0,0.0,0.24545337681341367,0.9694083968126603
0.3361602849263787,0.17914120774403983,0.0,0.0,0.0,0.26101449007082833,0.9653348828116932
0.4423429006068393,0.24423652190135772,0.0,0.0,0.0,0.28320767285363707,0.9590586082387391
0.5434933911773009,0.3139446174095081,0.0,0.0,0.0,0.31229882094721234,0.949983919040202
0.6383537253602635,0.3894186896061991,0.0,0.0,0.0,0.34838648785148024,0.9373509775332346
0.7256658718782274,0.47181193382913894,0.0,0.0,0.0,0.39117229253251395,0.9203174656361017
0.8041717994536929,0.5622775454160357,0.0,0.0,0.0,0.4396964031972598,0.8981464652357057
0.8726134768091602,0.6619687197045974,0.0,0.0,0.0,0.4921576150118115,0.8705061068056246
0.9297328726671296,0.7720386520325323,0.0,0.0,0.0,0.5459990023221325,0.8377858255325379
0.9742719557501012,0.8936405377375486,0.0,0.0,0.0,0.5983602369864267,0.8012272004828264
1.0049778899838135,1.027923215641634,0.0,0.0,0.0,0.646509975189937,0.7629055328020024
1.0216992223805814,1.1751119432340875,0.0,0.0,0.0,0.6826207934483136,0.7307727775115838
1.0267418310845597,1.3333713460685392,0.0,0.0,0.0,0.7069274694600386,0.707286047453805
1.0227440872471714,1.500587232692524,0.0,0.0,0.0,0.7227128188279872,0.6911484511316689
1.01234436201984,1.6746454116535767,0.0,0.0,0.0,0.7320442423052869,0.6812570933998988
0.9981810265539882,1.853431691499233,0.0,0.0,0.0,0.7361217510141286,0.6768491469181986
0.9828924520010395,2.034831880777028,0.0,0.0,0.0,0.7355216782537833,0.6775011887950736
0.9691170095124171,2.2167317880344966,0.0,0.0,0.0,0.7303269399067885,0.6830977681462487
0.9594930702395439,2.397017221819173,0.0,0.0,0.0,0.7201655228465127,0.6938022915090502
